delta_0,theta_0,lowalpha_0,highalpha_0,lowbeta_0,highbeta_0,lowgamma_0,midgamma_0,delta_1,theta_1,lowalpha_1,highalpha_1,lowbeta_1,highbeta_1,lowgamma_1,midgamma_1,delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,state
733016,174845,23899,52712,31900,41733,16529,11791,1095743,399300,232614,83369,45754,54246,23395,26918,404205,38757,8618,5847,3516,1674,844,520,251229,90941,21409,20015,15734,10209,3562,3649,77076,44604,8715,15271,5052,4260,1861,1876,644532,1850,30103,3001,5593,6514,3226,3552,95848,15559,12654,19330,2811,3871,2450,2575,471664,109408,48287,28506,15765,17501,7409,7268,hard
448597,298569,129886,40967,29910,19728,34585,14374,410064,492901,41895,12179,32049,12711,14297,10292,779177,62112,7805,7541,13397,10689,8568,6261,37808,21404,51134,83687,11350,32192,14426,7355,820136,26026,14473,12350,6670,4617,4645,6711,21230,17929,7692,9905,3250,1416,11239,5684,1048813,36045,9424,1194,7274,6543,3797,4431,509403,136426,37472,23974,14842,12556,13079,7872,hard
471159,30716,32013,6276,8829,7624,2259,2168,157719,15698,13421,8893,6117,3036,931,696,1056703,19780,16313,7602,16926,4302,4203,4361,250801,88490,24364,9909,34486,24723,18392,21179,55440,14249,8754,18443,2415,3661,2628,2447,785612,123258,11567,25268,5966,8827,2224,1498,907315,118778,35149,40363,14173,14808,21327,16869,526392,58709,20225,16679,12701,9568,7423,7031,easy
166841,80059,12210,5554,4128,5517,3399,1690,830181,100985,23651,87858,47770,20643,39040,8681,1170737,52971,33192,2474,5952,4778,6697,3812,36498,6706,4948,1088,411,1074,627,452,70884,16595,109274,96889,4348,14389,10169,23592,567183,72062,49320,15823,13491,8652,2776,4862,738741,41262,22002,2652,5169,2694,4695,2250,511580,52948,36371,30334,11609,8249,9629,6477,easy
610099,116503,11094,12426,13650,4658,2844,3942,503361,182656,11069,14241,6145,4435,3106,2994,528270,42544,29265,114937,13207,19909,7377,22359,70662,9394,13008,19187,6262,2298,2674,1846,513446,176446,20400,112136,22571,11954,11774,7100,102475,11871,1365,21953,4391,5066,2957,2134,855507,170589,70475,50580,32583,26493,18081,11067,454831,101429,22382,49351,14115,10687,6973,7348,easy
380022,216035,60052,8906,36430,18847,18146,11456,134576,49229,16525,25747,6383,5612,4439,2539,2211433,46916,15125,75459,54571,21870,27390,22868,41226,41619,89856,35583,9956,16077,16319,7420,38747,20556,115604,97564,10872,15406,6954,21315,517742,18809,11273,12005,5303,3179,2890,2501,70396,12318,11965,4249,6538,2856,1824,3374,484877,57926,45771,37073,18579,11978,11137,10210,easy
253898,168354,26472,33721,9433,16945,26153,23956,380919,74656,2985,8896,6843,4177,7791,4877,190491,78243,14184,13738,4531,4595,4104,4007,261632,30136,22184,20492,4219,3879,2816,3644,2131102,124775,53328,49616,12449,16885,22684,14032,159307,12831,389,3465,793,629,1459,2021,1776037,327606,12776,94377,14115,24399,31595,36485,736198,116657,18902,32043,7483,10215,13800,12717,hard
1219319,90128,20088,18373,7871,9995,11763,4887,277314,95944,8952,4756,7844,5780,3633,4443,357060,18176,10706,18164,21665,11842,7941,12233,288941,123736,22087,16601,30146,12860,20415,13559,630163,23437,9961,21737,10651,3089,5346,8609,54939,1865,2060,1539,1599,760,1533,1551,1182546,41577,4596,9034,10342,14048,5961,2341,572897,56409,11207,12886,12874,8339,8084,6803,easy
11380,23441,11331,11411,8280,26469,35955,25839,287745,159789,70614,6131,4467,12013,8743,5081,1274553,119860,84946,58498,11709,45875,8312,22390,131534,20306,1009,23871,1903,10163,6177,4940,521550,17879,4787,11220,3002,5661,6668,3698,59285,33243,14791,14085,2655,4466,3841,6258,584440,69754,12436,6312,3901,7786,9175,1657,410069,63467,28559,18789,5131,16061,11267,9980,easy
55785,22596,723,6565,2530,5754,8548,2402,2983403,488210,72539,77686,65484,82282,9432,27072,342356,26478,12368,7224,5304,6196,1659,1376,744483,65352,81429,130747,21284,23090,4728,10849,1183048,232263,37849,45880,31593,25540,9953,24574,160573,42383,5818,2754,9623,3599,10024,4058,648663,51303,17509,10658,5404,8250,6338,8218,874044,132655,32605,40216,20174,22101,7240,11221,hard
