a,sd,asd,as,d,as,d,sad,as,d,as,d,sa,d,ds,sad,ds,ad,d,dsa,xc,cx,c,c,c,c,c,c,c,c,c,cc,state
691538,360543,223996,77522,42238,52572,22551,26398,152976,-52184,-12791,-14168,-12218,-8535,-2718,-3129,174153,46337,12694,4744,10682,5949,1701,1773,-567456,42754,-21388,12270,-541,-2254,-1365,-1676,hard
-369113,430789,34090,4638,18652,2022,5729,4031,741369,40708,-43329,-76146,2047,-21503,-5858,-1094,-782328,-4622,36661,71337,4680,27575,9781,644,798906,8097,6781,2445,3420,3201,-6594,1027,hard
-898984,-4082,-2892,1291,-10809,-1266,-3272,-3665,805902,-68710,-8051,-2307,-17560,-20421,-14189,-16818,195361,74241,15610,-8534,32071,21062,15764,18732,-730172,-109009,-2813,-6825,-3551,-5166,404,949,easy
-340556,48014,-9541,85384,41818,15865,32343,4869,1134239,46265,28244,1386,5541,3704,6070,3360,-34386,-9889,-104326,-95801,-3937,-13315,-9542,-23140,-496299,-55467,59954,81066,-9143,5737,7393,18730,easy
-24909,140112,-18196,-100696,-7062,-15474,-4271,-19365,457608,33150,16257,95750,6945,17611,4703,20513,-442784,-167052,-7392,-92949,-16309,-9656,-9100,-5254,410971,164575,19035,90183,18180,6888,8817,4966,easy
-2076857,2313,1400,-49712,-48188,-16258,-22951,-20329,2170207,5297,-74731,39876,44615,5793,11071,15448,2479,21063,-25748,-61981,-916,671,9365,-13895,-478995,1747,104331,85559,5569,12227,4064,18814,easy
190428,-3587,-11199,-4842,2312,-418,3687,870,-71141,48107,-8000,-6754,312,716,1288,363,-1869470,-94639,-31144,-29124,-8230,-13006,-19868,-10388,1971795,111944,52939,46151,11656,16256,21225,12011,hard
-79746,77768,-1754,-13408,-13821,-6062,-4308,-7790,68119,-105560,-11381,1563,-8481,-1018,-12474,-1326,-341222,100299,12126,-5136,19495,9771,15069,4950,575224,21572,7901,20198,9052,2329,3813,7058,easy
-986808,39929,-14332,-52367,-7242,-33862,431,-17309,1143019,99554,83937,34627,9806,35712,2135,17450,-390016,2427,-3778,12651,-1099,4502,-491,1242,462265,-15364,-10004,-2865,347,1195,2827,-2560,easy
2641047,461732,60171,70462,60180,76086,7773,25696,-402127,-38874,-69061,-123523,-15980,-16894,-3069,-9473,-438565,-166911,43580,84867,-10309,-2450,-5225,-13725,1022475,189880,32031,43126,21970,21941,-71,20516,hard
-36770,-63318,-22261,-2481,639,3716,-1343,793,-1714989,28929,-17870,-147140,-25371,-13620,-5082,-2866,2283769,74538,39602,157342,26158,16056,9000,3852,53801,-83052,-16981,-4243,-337,-1275,-3200,-2568,easy
-205271,40511,-9407,-9231,-5926,4056,3508,3748,83657,-98956,-19954,-46254,-41068,-10827,-16778,-5767,174243,73841,-3857,31394,34752,3309,4636,-3630,-11099,12997,12359,14744,15945,8173,12912,10918,hard
229146,120703,22896,-2716,3297,9880,5345,466,246355,25215,-9800,13787,-1864,1806,1406,1276,-252809,-31708,3692,-8511,508,-371,-165,-3224,-793402,-45554,-10322,-68056,-23097,-5491,-33917,-9805,hard
1715124,-520,-1848,31686,19363,3019,2195,2193,-600218,-21385,-26822,-11388,797,-8227,-113,-2865,605155,34693,20245,-3058,-2141,6426,-1257,899,-155741,-1700,8553,14848,4174,7183,3453,2252,hard
-225633,94540,27535,10559,23884,15591,5681,2275,130345,-29623,-10483,-3518,586,-261,-605,-231,-971505,-59863,-18066,-79946,-64613,-16969,-9768,-11473,880984,70794,24259,72858,61860,15146,8659,8946,hard
-328238,-20118,-74210,-18832,-26598,-3888,-1733,-3142,-363615,3731,61881,-23280,-11814,-12358,-11686,-9883,-476283,19798,5174,43607,37591,13901,12939,11408,1211928,33302,5683,4393,3440,4829,1886,1958,hard
850809,29920,3894,-569,-3456,-777,-1839,701,-167825,11531,-725,-3838,3652,-3396,-1414,441,111200,-18845,9557,-3084,-3890,2010,1409,166,126018,-18374,3163,13029,821,1366,1962,65,hard
-328554,-76396,-11434,-9585,-786,-8347,-1077,-870,114365,-82713,3527,-18114,-25403,-16797,-6703,-7958,267163,165596,11259,1955,23784,23918,7327,6213,-836333,-14806,-25241,-9111,-2673,-7942,-3117,-553,hard
1222830,29262,11529,5786,-1624,-1076,-2157,2396,-1474237,-808656,-146464,-48168,-57347,-3292,-3589,-19625,1494048,530683,159362,27159,47124,-963,-1602,16872,-1309033,191309,-29863,3487,-15897,-15395,-3109,-816,easy
260958,689508,39407,8727,29585,-9583,1219,20577,-630565,16110,-26354,-90945,-6806,8019,-7922,-7115,1050247,61150,58271,94984,19896,14287,16072,8311,43003,7141,-2323,1674,126,3544,1178,3121,hard
100516,-42409,106903,33808,10158,5508,10690,12432,-852760,41423,8291,-431,8356,4462,1530,2220,888218,54618,-11447,-44996,-20700,-12330,-10713,-944,-459658,-170770,-11930,49195,-13499,-2162,-6751,-20611,hard
-938412,137798,-5830,-12449,-1006,293,-185,2952,950267,-16562,5,-37551,-13773,5206,210,-2178,-15545,-10634,-38360,-47700,9208,-4913,404,1468,-113893,14893,50808,92612,15073,9389,3964,2206,easy
