MSG_EEG_POWER_DELTA_1,MSG_EEG_POWER_HIGHALPHA_1,MSG_EEG_POWER_HIGHBETA_1,MSG_EEG_POWER_LOWALPHA_1,MSG_EEG_POWER_LOWBETA_1,MSG_EEG_POWER_LOWGAMMA_1,MSG_EEG_POWER_MIDGAMMA_1,MSG_EEG_POWER_THETA_1,MSG_EEG_POWER_DELTA_2,MSG_EEG_POWER_HIGHALPHA_2,MSG_EEG_POWER_HIGHBETA_2,MSG_EEG_POWER_LOWALPHA_2,MSG_EEG_POWER_LOWBETA_2,MSG_EEG_POWER_LOWGAMMA_2,MSG_EEG_POWER_MIDGAMMA_2,MSG_EEG_POWER_THETA_2,MSG_EEG_POWER_DELTA_3,MSG_EEG_POWER_HIGHALPHA_3,MSG_EEG_POWER_HIGHBETA_3,MSG_EEG_POWER_LOWALPHA_3,MSG_EEG_POWER_LOWBETA_3,MSG_EEG_POWER_LOWGAMMA_3,MSG_EEG_POWER_MIDGAMMA_3,MSG_EEG_POWER_THETA_3,MSG_EEG_POWER_DELTA_sd,MSG_EEG_POWER_HIGHALPHA_sd,MSG_EEG_POWER_HIGHBETA_sd,MSG_EEG_POWER_LOWALPHA_sd,MSG_EEG_POWER_LOWBETA_sd,MSG_EEG_POWER_LOWGAMMA_sd,MSG_EEG_POWER_MIDGAMMA_sd,MSG_EEG_POWER_THETA_sd,MSG_EEG_POWER_DELTA_diff1,MSG_EEG_POWER_HIGHALPHA_diff1,MSG_EEG_POWER_HIGHBETA_diff1,MSG_EEG_POWER_LOWALPHA_diff1,MSG_EEG_POWER_LOWBETA_diff1,MSG_EEG_POWER_LOWGAMMA_diff1,MSG_EEG_POWER_MIDGAMMA_diff1,MSG_EEG_POWER_THETA_diff1,MSG_EEG_POWER_DELTA_diff2,MSG_EEG_POWER_HIGHALPHA_diff2,MSG_EEG_POWER_HIGHBETA_diff2,MSG_EEG_POWER_LOWALPHA_diff2,MSG_EEG_POWER_LOWBETA_diff2,MSG_EEG_POWER_LOWGAMMA_diff2,MSG_EEG_POWER_MIDGAMMA_diff2,MSG_EEG_POWER_THETA_diff2,btn_color
30285,5018,9998,4152,6387,4889,5759,16762772,568965,9851,16776082,14631,28199,16756004,16756221,66247,89141,25,7009,1315,5378,8433,8649,21176,241263.167082,4011.62496862,7904312.40181,5726.8749089,10528.1604703,7895716.14304,7895562.42076,7881462.18173,538680,-479824,4833,-9826,16766084,-16769073,10479,-13316,21812,-22821,16751115,-16747571,16750462,-16747572,-16696525,-45071,0
77365,1468,8113,2872,5597,4687,1683,18720,12171,17419,29101,6979,16892,11570,9634,8289,15531,5448,16746056,6546,17264,20993,5464,11331,29972.1922826,6778.88586388,7885399.73509,1842.49872607,5414.32562744,6683.7635273,3247.27684205,4379.96506835,-65194,3360,15951,-11971,20988,16716955,4107,-433,11295,372,6883,9423,7951,-4170,-10431,3042,0
4762,6496,16752934,16055,23015,23012,20491,18264,5249,22967,16746026,13253,6045,18795,11436,16752411,9803,8327,16532,6423,11132,10625,9887,9962,2270.28549355,7370.93392243,7887987.83751,4045.23763895,7110.74428047,5142.08948018,4676.62321196,7890510.07546,487,4554,16471,-14640,-6908,-16729494,-2802,-6830,-16970,5087,-4217,-8170,-9055,-1549,16734147,-16742449,0
3770,5946,74574,7766,21018,30380,9498,147255,90745,6642,20316,14962,11371,12226,7088,16775822,747189,28881,16756194,16774098,26725,18659,13250,231886,331855.923444,10651.4045083,7876610.96176,7902029.13451,6336.66380852,7515.41413068,2535.43439189,7818910.27681,86975,656444,696,22239,-54258,16735878,7196,16759136,-9647,15354,-18154,6433,-2410,6162,16628567,-16543936,0
17393,4219,16771183,1611,28774,19618,18340,16308,5065,6885,23471,15683,24309,16744529,16764776,16760414,17835,3281,8096,9789,2381,7512,3737,16659,5918.40676759,1526.65997087,7898573.56598,5770.03855177,11534.3152665,7887053.61527,7897789.84772,7893164.53481,-12328,12770,2666,-3604,-16747712,-15375,14072,-5894,-4465,-21928,16724911,-16737017,16746436,-16761039,16744106,-16743755,0
73977,2645,10042,3073,2878,6398,4576,16996,7728,2275,16759044,13892,12561,21750,16753153,5211,23921,2468,26571,11275,7188,3918,5323,23837,28199.1851458,151.098937418,7891662.22386,4608.83516255,3961.00040674,7886.79999887,7895178.85092,7692.80603334,-66249,16193,-370,193,16749002,-16732473,10819,-2617,9683,-5373,15352,-17832,16748577,-16747830,-11785,18626,0
388202,2952,27471,269,15001,16770198,19625,19551,257306,9199,13342,16080,3344,9263,9205,70787,293167,4843,9995,26003,5526,23158,9778,145244,55228.2389141,2615.67127564,7573.65041883,10597.1296218,5059.89018326,7897907.48593,4782.70190954,51605.0199905,-130896,35861,6247,-4356,-14129,-3347,15811,9923,-11657,2182,-16760935,13895,-10420,573,51236,74457,0
915624,28860,72610,31040,16747217,26071,14403,317264,222949,16771404,19365,16753152,16747921,16762582,13082,16762867,16775999,4008,12037,22087,10168,11732,4536,85344,7645149.2108,7898375.12006,26993.4517533,7884990.28345,7890086.50293,7893048.85314,4373.36440538,7807769.76504,-692675,16553050,16742544,-16767396,-53245,-7328,16722112,-16731065,704,-16737753,16736511,-16750850,-1321,-8546,16445603,-16677523,0
65926,16602,16757067,20097,16751142,31470,16758090,16754136,815640,23014,27310,30317,73746,16757188,16750799,137327,4617,11058,16750113,2199,19154,17240,19006,10784,368719.734247,4885.30240165,7884844.5191,11620.9041913,7874698.86591,7887935.26111,7889161.92784,7863235.06134,749714,-811023,6412,-11956,-16729757,16722803,10220,-28118,-16677396,-54592,16725718,-16739948,-7291,-16731793,-16616809,-126543,0
311366,10928,16757602,20885,13471,16750928,14885,16753548,7902,12855,28692,8543,24428,72168,15358,7364,11263,16745748,16761735,909,13255,16748794,13696,10385,142268.723129,7888415.6436,7887058.13983,8230.31993438,5216.83635507,7861939.92484,699.181585061,7893514.88342,-303464,3361,1927,16732893,-16728910,16733043,-12342,-7634,10957,-11173,-16678760,16676626,473,-1662,-16746184,3021,0
556337,12113,25506,20254,4324,28150,19081,85117,5234,3915,16767669,696,9997,27589,12902,14602,16753366,676,7410,12700,2270,3950,2560,15142,7768507.56747,4813.21437988,7896600.04989,8053.11738121,3267.82928291,11278.0861359,6815.67185895,33114.5443876,-551103,16748132,-8198,-3239,16742163,-16760259,-19558,12004,5673,-7727,-561,-23639,-6179,-10342,-70515,540,0
549138,4072,16746127,14086,5284,22220,19183,16746385,5563,10074,22186,1351,8809,11940,25329,20071,3229,6505,16752833,1923,21001,22422,28670,10205,256795.60927,2464.89247005,7885322.48746,5873.15907801,6733.78363181,4894.345127,3929.07631215,7887186.50271,-543575,-2334,6002,-3569,-16723941,16730647,-12735,572,3525,12192,-10280,10482,6146,3341,-16726314,-9866,0
